gui,nom1,nom2,
1,Activitats a la natura,,
2,,Guies de natura,
3,Alimentació natural,,
4,,Dietética,
5,,Macrobiòtica,
6,,Vegetarianisme,
7,Agricultura alternativa,,
8,,Ecològica,
9,,Permacultura,
10,Arquitectura conscient,,
11,,Bioclimàtica,
12,,Feng-Shui,
13,,Geobiologia,
14,,Línies Harthmann,
15,,Radioestesia,
16,Arts marcials meditatives,,
17,,Aikido,
18,,Tai Chi Chuan,
19,Astrologia i astronomia,,
20,,Cartes astrals,
21,Dances,,
22,,Biodansa,
23,,Contemplativa,
24,,Del ventre,
25,,Dansateràpia,
26,,Lliure,
27,,Moviments de Gurdjieff,
28,Ciències,,
29,,De la Projecció/Viatge astral,
30,"Disciplines, Sistemes i tècniques alternatives",,
31,,Chi Kung,
32,,Eneagrama,
33,,Feng Shui,
34,,Geo Qi-sistema,
35,,Geobiologia,
36,,Hipnosis,
37,,Holosíntesi,
38,,Inteligència Emocional,
39,,Intensi,
40,,Moxibustió,
41,,Qi Gong,
42,,Sofrologia,
43,Entrenament físic,,
44,,Hipopressius,
45,,Pilates,
46,Escoles alternatives per a nens,,
47,,Montesori,
48,,Vivencials,
49,Ioga,,
50,,Asthanga ioga,
51,,Hatha ioga,
52,,Ioga,
53,,Ioga Nidra,
54,,Kundalini ioga,
55,,Kriya ioga,
56,,Tantra ioga,
57,Massatges,,
58,,Atlante,
59,,Ayurvèdic,
60,,Drenatge limfàtic,
61,,Metamòrfic,
62,,Quiromassatge,
63,,Reflexologia,
64,,Shiatsu,
65,,Soku-Shin-Do,
66,Medicines alternatives,,
67,,Acupuntura,
68,,Ayurveda,
69,,Holosíntesi,
70,,Homeopatia,
71,,Naturopatia,
72,,Osteopatia,
73,,Psicosomàtica,
74,,Xinesa,
75,Meditació/Relaxació,,
76,,Gestió de l’estrés,
77,,Meditació,
78,,Meditació caminant,
79,,Meditació activa,
80,,Respiració conscient,
81,,Tècniques de relaxació,
82,Mètodes i Tècniques,,
83,,Alexander,
84,,Anatomia Experiencial,
85,,Biodescodificació malalties,
86,,Breema,
87,,Cadenes musculars i articulacions GDS,
88,,Coaching,
89,,Dels circuits corporals,
90,,EFT- Tapping,
91,,EMF Balancing techniques,
92,,Energia Taquió,
93,,Eutonia,
94,,Feldenkrais,
95,,Iridologia,
96,,Kinesiologia,
97,,Kirlian,
98,,Metamòrfica,
99,,Nadeau,
100,,Pilates,
101,,PNL Programación Neuro Lingüística,
102,,Quiropraxia,
103,,Radioestesia,
104,,Reequilibri corporal Damun TRCD,
105,,Respiració Holorénica,
106,,Sacrocraneal,
107,,Tagdrol,
108,,T.I.C.E,
109,,Tomatis,
110,,Wilfart de Respiració i veu,
111,Naixements,,
112,,Parts naturals,
113,,Doules,
114,Pràctiques espirituals,,
115,,Tian Gong,
116,Psicologia alternativa,,
117,,Psicologia energètica,
118,,Psicologia transpersonal,
119,Rituals d’iniciació,,
120,,Diksha,
121,Sons i Cants com a teràpies,,
122,,Cant Prenatal/Psicofonia,
123,,Concs tibetans,
124,,Diapasons,
125,,Didgeridoo,
126,"Teràpies, Sanació i Remeis",,
127,,Arolo Tifar,
128,,Aromateràpia,
129,,Art-teràpia,
130,,Aurasoma teràpia,
131,,Bioenergètica,
132,,Biomagnetisme de Goiz,
133,,Concteràpia,
134,,Constel·lacions familiars,
135,,Cristaloteràpia,
136,,Cromatoteràpia,
137,,Dansateràpia,
138,,Facioteràpia-Cien Chan,
139,,Fisioterapia,
140,,Fitoteràpia,
141,,Flors de Bach,
142,,Gemoteràpia,
143,,Geocromoteràpia,
144,,Geometria Sagrada/Mer-Ka-Ba,
145,,Geoteràpia,
146,,Geotermalisme,
147,,Gestalt,
148,,Hidroteràpia,
149,,Iridologia,
150,,Limfoteràpia,
151,,Litoteràpia,
152,,Logoterapia,
153,,Micoteràpia,
154,,Moxibustió,
155,,Musicoteràpia,
156,,Nutriteràpia,
157,,Oligoteràpia,
158,,Oxigenoteràpia Hiperbàrica OHB,
159,,Oxitèrmia,
160,,Photon terapia,
161,,Psicoteràpia,
162,,Psicocorporal,
163,,Rebirthing,
164,,Reconexió,
165,,Reflexologia o teràpia zonal,
166,,,Facial
167,,,Podal
168,,,Infantil
169,,Reiki,
170,,Renaixement sistèmic,
171,,Riureteràpia,
172,,Terapia amb animals,
173,,Teràpia amb cristalls,
174,,Terapia Breu Estratègica,
175,,Terapia Craneosacral,
176,,Terapia de Polaritat,
177,,Terapia del So,
178,,Terapia Esenia,
179,,Terapia Ortomolecular,
180,,Terapia per animals,
181,,Terapia Piramidal,
182,,Terapia Regresiva,
183,,Terapia Vibracional,
184,Treball energètic,,
185,,Àngels,
186,,Miracles,
187,,Registres akàshics,
188,,Reiki,
189,,Sanergia,
190,,Visió aural,
191,Visió natural,,
192,Veterinària alternativa,,
